Belletristik;Belletristik umfasst alle Arten von fiktionalen Werken, einschließlich Romane, Kurzgeschichten, Novellen und Gedichte.
Sachbücher;Sachbücher decken ein breites Spektrum an Themen ab, von Geschichte und Biografien bis hin zu Wissenschaft und Technologie.
Kinderbücher;Kinderbücher sind für verschiedene Altersgruppen konzipiert und können sich auf verschiedene Themen wie Abenteuer, Freundschaft, Tiere und vieles mehr konzentrieren.
Sachbücher für Kinder;Diese Bücher zielen darauf ab, Kindern Wissen über verschiedene Themen wie Natur, Wissenschaft, Geschichte und mehr zu vermitteln.
Reiseliteratur;Reiseliteratur konzentriert sich auf Reiseerlebnisse und kann in verschiedenen Formen wie Reiseberichte, Reiseführer und mehr vorliegen.
Kochbücher;Kochbücher beinhalten Rezepte und Anleitungen zum Kochen von Speisen, oft mit einer bestimmten Art der Küche oder einer Diät im Fokus.
Landhauskrimi;(auch genannt: Häkelkrimi, Rätselkrimi, Whodunit, Cosy Crime) Klassischer Rätselkrimi im Stil von Agatha Christie. Die Spannung ergibt sich aus dem Rätsel, wer, wie und warum ein Verbrechen begangen wurde. Keine brutale Sprache und (meist) keine brutalen Szenen.Landhauskrimi (auch genannt: Häkelkrimi, Rätselkrimi, Whodunit, Cosy Crime) Klassischer Rätselkrimi im Stil von Agatha Christie. Die Spannung ergibt sich aus dem Rätsel, wer, wie und warum ein Verbrechen begangen wurde. Keine brutale Sprache und (meist) keine brutalen Szenen.
Hardboiled Krimi;(auch genannt: hartgesottener Krimi) Harte Sprache und harte Szenen.
Regionalkrimi;Schauplatz ist ein realer Ort (Dorf, Stadt, Insel oder Region), der detailliert und kenntnisreich beschrieben wird.
Reisekrimi;Eine Reise ist wesentlicher Bestandteil der Geschichte.
Polizeiroman;Die Hauptfiguren gehören zur Polizei.
Gangsterkrimi;Die Hauptfiguren sind dem Gangstermilieu zuzurechnen.
Agenten- und Spionageroman;Die Geschichte spielt im Agenten- oder Spionagemilieu.
Gerichtsmedizinischer Krimi;Die Ergebnisse der Gerichtsmedizin spielen eine große Rolle.
Detektivgeschichte;Die Hauptfiguren gehören zu einer Detektei.
Splatterkrimi;Gewalt wird ausführlich geschildert und ist ein wesentlicher Teil der Geschichte.
Krimi Noir;Seelische Abgründe spielen eine große Rolle. Auch wenn das Verbrechen aufgeklärt wird, gibt es kein „Happy End“.
Genusskrimi;Ein bestimmtes Genussmittel (Whisky, Schokolade o.ä.) spielen eine wesentliche Rolle.
Gerichtskrimi;Eine der Hauptfiguren steht vor Gericht bzw. soll bald vor Gericht stehen. Eine weitere Hauptfigur ist für die Verteidigung oder Anklage zuständig oder gehört zur Jury.
Historischer Krimi;Der Krimi spielt in der Vergangenheit. Er handelt von realen Kriminalfällen (z.B. Jack the Ripper) oder fiktionalen Kriminalfällen.
Ethno-Krimi;Eine der Hauptfiguren gehört einer ethnischen Gruppe an, deren Kultur im Krimi eine besondere Rolle spielt.
Thriller;Der Hauptkonflikt besteht aus lebensbedrohlichen Entwicklungen. Die Hauptfigur kämpft mit/gegen diese lebensbedrohlichen Entwicklungen und muss um ihr Leben fürchten. In vielen Thrillern ist nicht nur die Hauptfigur bedroht, auch andere Menschen werden bedroht: die Familie der Hauptfigur oder bestimmte Einzelpersonen, die Bewohner eines Ortes oder eines Landes oder sogar die gesamte Weltbevölkerung. Die Hauptfigur versucht allein oder mit anderen der Bedrohung zu entkommen oder die Bedrohung zu beseitigen.
Actionthriller;Wesentliche Bestandteile sind Kämpfe und Verfolgungsjagden.
Katastrophenthriller;(auch: Öko-Thriller) Die lebensbedrohlichen Entwicklungen beruhen auf einer Katastrophe (Naturkatastrophe oder eine von Menschen verursachte Katastrophe).
Politthriller;Die Politik ist wesentlicher Bestandteil der Handlung.
Psychothriller;Die Spannung ergibt sich durch geschickte Andeutungen, Urängste werden angesprochen und so manches bleibt Phantasie der Leser*innen überlassen.
Verschwörungsthriller;Die Hauptfigur kämpft gegen eine Verschwörung.
Wissenschaftsthriller;Wissenschaft ist ein wesentlicher Bestandteil der Geschichte.
Spionagethriller;Die Geschichte spielt im Agenten- oder Spionagemilieu.
Technothriller;Detailreich beschriebene Technik ist wesentlicher Bestandteil der Geschichte.
Liebesroman;Hauptfiguren sind zwei Menschen oder StellvertreterInnen für Menschen: eine oder beide verlieben sich. Die Liebe ist mit Schwierigkeiten verbunden und verursacht Leiden. Eine der beiden Personen oder beide Personen kämpfen meist darum, eine stabile Beziehung oder Verbindung aufzubauen. Die Liebenden begegnen sich immer wieder oder haben immer wieder Kontakt. Es gibt eine spannende/interessante Rahmenhandlung.
Erotische Romane;Sexualität wird detailreich und offen geschildert.
Chick Lit;Abwertende Bezeichnung für Liebesgeschichten, die sich an junge Frauen zwischen 20 und 35 richten. (Aus dem US-Amerikanischen: “Lit” ist die Abkürzung für “literature”, “Chick” eine abwertende Bezeichnung für junge Frauen.)
Nackenbeißer;Liebesroman, in dem sexuelle Gewalt romantisiert wird.
Paranormale Liebesromane;(auch: Paranormal Romance) Eine oder beide Hauptfiguren haben übernatürliche Fähigkeiten. Während die übernatürlichen Fähigkeiten/Figuren von Dark und Magic Romance eher dem Umfeld der Märchen und Sagen entspringen (also eher der Fantasy zugerechnet werden), geht es in diesen Geschichten eher um “moderne” übernatürliche Fähigkeiten (oft eine Mischung aus Fantasy und Science Fiction).
Gay Romance;Die Liebenden sind gleichgeschlechtlich.
Zeitreisen in der Liebe;Die Liebenden leben in verschiedenen Epochen.
Love and Landscape; (auch: Lovescape oder L&L) Die Liebesgeschichte spielt in einer besonders schönen Landschaft.
Inspirational Romances;Für die Liebesgeschichte spielen spirituelle oder christliche Motive eine starke Rolle.
Regency Romance;Die Liebesgeschichte spielt in Adelskreisen.
Romantic Suspense;Im Vordergrund steht eine Liebesgeschichte, ein Kriminalfall bildet das Setting.
Romantikthriller;Ein Thriller mit einer starken Liebesgeschichte.
Science Fiction;Die Geschichte spielt in der Zukunft und die Welt hat sich verändert. Die Veränderungen berücksichtigen die chemischen/physikalischen Gegebenheiten unserer Welt. Meist sind die technischen Möglichkeiten phantasievoll ausgeschmückt.
Apokalypse und Postapokalypse;Die Welt steht kurz vor ihrem Ende oder ist gerade zerstört worden.
Cyperpunk;In der futuristischen Welt spielen high-tech Geräte, Computer, Hacker und humanoide Computer oder Computer-/Mensch-Mischwesen eine große Rolle.
Utopien & Dystopien;Schilderung einer fiktiven Gesellschaft: optimistisch geschildert als Utopie oder pessimistisch geschildert als Dystopie.
Aliens & Alien Invasion;Fremde Wesen aus einer anderen Welt stehen im Mittelpunkt. Alien Invasion: Eine fremde Gesellschaft dringt in unsere Welt ein, um Menschen auszulöschen, zu ersetzen, zu versklaven, in sie einzudringen oder zu Futter zu machen.
Künstliche Intelligenz;Im Mittelpunkt der Geschichte steht ein (menschenähnliches) Wesen, ein Computer oder Software mit künstlich geschaffener Intelligenz.
First Contact;Menschen und eine bestimmte Art von Aliens begegnen sich zum ersten Mal.
Hard-Sci-Fi;Wissenschaft und Technik werden detailreich beschrieben und spielen eine wichtige Rolle in der Geschichte.
Soft-Sci-Fi; (auch: Sociological Sci-Fi) Der Schwerpunkt liegt auf der Schilderung von psychologischen und/oder soziologischen Verhältnissen. Wenn Technik darin eine nennenswerte Rolle spielt, so steht sie nicht im Mittelpunkt. Die Geschichte handelt von den Auswirkungen der technischen Veränderungen auf die Menschen oder eine soziale Gruppe.
Light Sci-Fi; (auch: Funny Sci-Fi, Comic Sci-Fi, Comedy Sci-Fi) Humorvolle Geschichten.
Steampunk;Die Geschichte spielt in der Vergangenheit. Die Welt und die technischen Geräte werden geschildert, als wäre es ein Science-Fiction. Es wird von der Annahme ausgegangen, dass die Welt und die technischen Geräte eine andere Entwicklung genommen haben. Die Welt und die technischen Geräte wirken fantastisch und retro, oft gehören Dampfmaschinen dazu. Wird dem sogenannten Retro-Futurismus zugerechnet: eine Sicht auf die Zukunft, wie sie in früheren Zeiten entstanden sein könnte.
